"Rank","Rank +/-","STS","Driver","Car #","Make","Points","BHND","PO PTS","P","Win","T5","T10","STG Win"
"1","+2","35","Ryan Blaney","12","Ford","5,000","0","14","0","3","7","17","6"
"2","-","35","Christopher Bell","20","Toyota","5,000","0","16","7","2","10","19","4"
"3","+1","35","Kyle Larson","5","Chevrolet","5,000","0","24","2","4","14","17","8"
"4","-3","35","William Byron","24","Chevrolet","5,000","0","41","4","6","14","20","8"
"5","+2","35","Denny Hamlin","11","Toyota","2,354","-2,646","32","4","3","14","18","8"
"6","-1","35","Tyler Reddick","45","Toyota","2,329","-2,671","16","2","2","10","16","6"
"7","+2","35","Brad Keselowski","6","Ford","2,278","-2,722","11","0","0","7","16","6"
"8","-","35","Chris Buescher","17","Ford","2,263","-2,737","21","0","3","8","16","1"
"9","+1","35","Ross Chastain","1","Chevrolet","2,242","-2,758","11","1","1","9","13","5"
"10","+1","35","Bubba Wallace","23","Toyota","2,242","-2,758","0","1","0","5","9","0"
"11","+2","35","Joey Logano","22","Ford","2,239","-2,761","8","2","1","11","17","3"
"12","-6","35","Martin Truex Jr","19","Toyota","2,228","-2,772","36","3","3","9","16","6"
"13","-1","35","Kyle Busch","8","Chevrolet","2,220","-2,780","19","2","3","10","17","2"
"14","-","35","Kevin Harvick","4","Ford","2,194","-2,806","4","0","0","6","13","1"
"15","-","35","Michael McDowell","34","Ford","2,157","-2,843","7","0","1","2","7","2"
"16","-","35","Ricky Stenhouse Jr","47","Chevrolet","2,154","-2,846","5","0","1","2","9","0"
"17","-","28","Chase Elliott","9","Chevrolet","799","-4,201","1","0","0","7","15","2"
"18","+1","35","Ty Gibbs","54","Toyota","755","-4,245","0","0","0","4","10","0"
"19","-1","35","Daniel Suarez","99","Chevrolet","730","-4,270","0","1","0","3","10","0"
"20","-","35","AJ Allmendinger","16","Chevrolet","687","-4,313","5","0","1","4","7","0"
"21","-","32","Alex Bowman","48","Chevrolet","681","-4,319","0","2","0","4","10","0"
"22","-","35","Aric Almirola","10","Ford","651","-4,349","0","2","0","2","5","1"
"23","-","35","Austin Cindric","2","Ford","624","-4,376","0","0","0","1","5","1"
"24","-","35","Ryan Preece","41","Ford","614","-4,386","0","1","0","1","2","1"
"25","-","35","Corey Lajoie","7","Chevrolet","597","-4,403","0","0","0","2","3","0"
"26","-","35","Justin Haley","31","Chevrolet","585","-4,415","0","0","0","1","6","0"
"27","-","35","Erik Jones","43","Chevrolet","557","-4,443","0","0","0","1","7","0"
"28","-","35","Todd Gilliland","38","Ford","547","-4,453","0","0","0","0","4","0"
"29","+1","35","Chase Briscoe","14","Ford","521","-4,479","0","1","0","4","8","0"
"30","-1","35","Austin Dillon","3","Chevrolet","520","-4,480","0","0","0","1","7","0"
"31","-","35","Harrison Burton","21","Ford","441","-4,559","0","0","0","0","2","0"
"32","-","35","Ty Dillon","77","Chevrolet","355","-4,645","0","0","0","0","0","0"
"33","-","21","Noah Gragson","--","--","199","-4,801","0","0","0","0","0","0"
"34","-","7","Cody Ware","--","--","65","-4,935","0","0","0","0","0","0"
"35","-","3","Jenson Button","--","--","45","-4,955","0","0","0","0","0","0"
"37","-","1","Travis Pastrana","--","--","26","-4,974","0","0","0","0","0","0"
"38","-","1","Brodie Kostecki","--","--","15","-4,985","0","0","0","0","0","0"
"39","-","3","Jimmie Johnson","--","--","12","-4,988","0","0","0","0","0","0"
"40","-","1","Kimi Raikkonen","--","--","8","-4,992","0","0","0","0","0","0"
